seed,model,mae,rmse,r2
40,Linear Regression,0.031701646745204926,0.040474246470635716,0.11792540550231934
40,Random Forest,0.03570165066606483,0.04476985855209623,-0.07924284049676023
40,XGBoost,0.02974775992333889,0.0409828051888344,0.09561961889266968
40,MLP,0.03508256748318672,0.043971333482302734,-0.04108703136444092
41,Linear Regression,0.031701646745204926,0.040474246470635716,0.11792540550231934
41,Random Forest,0.03537340762920776,0.04418128065074545,-0.051052313259096316
41,XGBoost,0.02974775992333889,0.0409828051888344,0.09561961889266968
41,MLP,0.030302274972200394,0.0411598460049181,0.08778911828994751
42,Linear Regression,0.031701646745204926,0.040474246470635716,0.11792540550231934
42,Random Forest,0.03475684355157652,0.04376852134236407,-0.031505342021843186
42,XGBoost,0.02974775992333889,0.0409828051888344,0.09561961889266968
42,MLP,0.03040928952395916,0.042573283460500586,0.02406233549118042
43,Linear Regression,0.031701646745204926,0.040474246470635716,0.11792540550231934
43,Random Forest,0.03484625933086938,0.04399619113165057,-0.042264370864532275
43,XGBoost,0.02974775992333889,0.0409828051888344,0.09561961889266968
43,MLP,0.030283425003290176,0.04273367240692581,0.016695082187652588
44,Linear Regression,0.031701646745204926,0.040474246470635716,0.11792540550231934
44,Random Forest,0.03527374053714729,0.04429002925395071,-0.05623283948650104
44,XGBoost,0.02974775992333889,0.0409828051888344,0.09561961889266968
44,MLP,0.03295112028717995,0.04152781134668595,0.07140600681304932
